"id","name","canton_id","canton_name","ballot_id","ballot_name","yes","no","yes_pct","turnout","ballots_returned","voters","valid_votes"
"1600","Kanton Appenzell Innerrhoden","16","Appenzell Innerrhoden",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",1970,5749,25.521440601,67.356223176,7847,11650,7719
"9160","AI-Ausland-CH","16","Appenzell Innerrhoden",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",62,46,57.407407407,21.696252465,110,507,108
"1721","Wahlkreis St. Gallen","17","St. Gallen",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",19446,24266,44.486639824,58.692121309,44086,75114,43712
"1722","Wahlkreis Rorschach","17","St. Gallen",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",5834,9158,38.914087513,57.688184394,15067,26118,14992
"1723","Wahlkreis Rheintal","17","St. Gallen",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",8795,16876,34.260449534,59.225622514,25759,43493,25671
"1724","Wahlkreis Werdenberg","17","St. Gallen",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",4784,8564,35.840575367,60.764377468,13387,22031,13348
"1725","Wahlkreis Sarganserland","17","St. Gallen",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",5665,10638,34.748205852,61.070468797,16362,26792,16303
"1726","Wahlkreis See-Gaster","17","St. Gallen",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",10998,16683,39.731223583,60.871747861,27889,45816,27681
"1727","Wahlkreis Toggenburg","17","St. Gallen",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",5839,15685,27.127857276,69.438549103,21594,31098,21524
"1728","Wahlkreis Wil","17","St. Gallen",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",10071,18435,35.329404336,60.743144366,28641,47151,28506
"9170","SG-Ausland-CH","17","St. Gallen",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",1455,1355,51.779359431,29.255209408,2836,9694,2810
"1841","Region Albula","18","Graubünden / Grigioni / Grischun",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",1366,2365,36.612168319,64.15959253,3779,5890,3731
"1842","Region Bernina","18","Graubünden / Grigioni / Grischun",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",666,1402,32.205029014,57.34132389,2105,3671,2068
"1843","Region Engiadina Bassa / Val Müstair","18","Graubünden / Grigioni / Grischun",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",1579,2726,36.678281069,65.306427504,4369,6690,4305
"1844","Region Imboden","18","Graubünden / Grigioni / Grischun",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",3410,4918,40.946205572,58.906402567,8446,14338,8328
"1845","Region Landquart","18","Graubünden / Grigioni / Grischun",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",4133,6683,38.211908284,60.090740133,10993,18294,10816
"1846","Region Maloja","18","Graubünden / Grigioni / Grischun",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",2558,4313,37.228933197,60.752875566,6972,11476,6871
"1847","Region Moesa","18","Graubünden / Grigioni / Grischun",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",984,2083,32.083469188,51.258992806,3135,6116,3067
"1848","Region Plessur","18","Graubünden / Grigioni / Grischun",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",7397,9090,44.865651726,56.407506702,16832,29840,16487
"1849","Region Prättigau / Davos","18","Graubünden / Grigioni / Grischun",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",4059,7525,35.039709945,64.484741265,11664,18088,11584
"1850","Region Surselva","18","Graubünden / Grigioni / Grischun",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",3216,7177,30.943904551,63.178504729,10487,16599,10393
"1851","Region Viamala","18","Graubünden / Grigioni / Grischun",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",2362,3865,37.931588245,63.528345585,6309,9931,6227
"1901","Bezirk Aarau","19","Aargau",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",13237,16452,44.585536731,59.900623109,29897,49911,29689
"1902","Bezirk Baden","19","Aargau",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",21432,28592,42.843435151,59.261919621,50327,84923,50024
"1903","Bezirk Bremgarten","19","Aargau",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",11386,18040,38.693672263,61.141618497,29617,48440,29426
"1904","Bezirk Brugg","19","Aargau",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",7719,11652,39.848226731,62.338493028,19492,31268,19371
"1905","Bezirk Kulm","19","Aargau",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",4845,10454,31.668736519,58.481157214,15363,26270,15299
"1906","Bezirk Laufenburg","19","Aargau",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",4337,9817,30.641514766,62.367382727,14226,22810,14154
"1907","Bezirk Lenzburg","19","Aargau",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",9144,15136,37.66062603,59.451494264,24409,41057,24280
"1908","Bezirk Muri","19","Aargau",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",4745,11385,29.417234966,65.739462357,16189,24626,16130
